Time, Open, High, Low, Close, Volume
<module 'time' (built-in)>, 0.0296, 0.0296, 0.0296, 0.0296, 0.0
<module 'time' (built-in)>, 0.0296, 0.0296, 0.0296, 0.0296, 0.0
<module 'time' (built-in)>, 0.03049, 0.03049, 0.03049, 0.03049, 118.0
<module 'time' (built-in)>, 0.03049, 0.03049, 0.03049, 0.03049, 0.0
<module 'time' (built-in)>, 0.03049, 0.03049, 0.03049, 0.03049, 0.0
<module 'time' (built-in)>, 0.03049, 0.03049, 0.03049, 0.03049, 0.0
<module 'time' (built-in)>, 0.03049, 0.03049, 0.03049, 0.03049, 0.0
<module 'time' (built-in)>, 0.03024, 0.03024, 0.03024, 0.03024, 118.0
<module 'time' (built-in)>, 0.03024, 0.03024, 0.03024, 0.03024, 0.0
<module 'time' (built-in)>, 0.03024, 0.03024, 0.03024, 0.03024, 0.0
<module 'time' (built-in)>, 0.03051, 0.03051, 0.03051, 0.03051, 118.0
<module 'time' (built-in)>, 0.03051, 0.03051, 0.03051, 0.03051, 0.0
<module 'time' (built-in)>, 0.03051, 0.03051, 0.03051, 0.03051, 0.0
<module 'time' (built-in)>, 0.03049, 0.03049, 0.03049, 0.03049, 118.0
<module 'time' (built-in)>, 0.03049, 0.03049, 0.03049, 0.03049, 0.0
<module 'time' (built-in)>, 0.03049, 0.03049, 0.03049, 0.03049, 0.0
<module 'time' (built-in)>, 0.03049, 0.03049, 0.03049, 0.03049, 0.0
<module 'time' (built-in)>, 0.03049, 0.03049, 0.03049, 0.03049, 0.0
<module 'time' (built-in)>, 0.03049, 0.03049, 0.03049, 0.03049, 0.0
<module 'time' (built-in)>, 0.03049, 0.03049, 0.03049, 0.03049, 0.0
<module 'time' (built-in)>, 0.03049, 0.03049, 0.03049, 0.03049, 0.0
<module 'time' (built-in)>, 0.03049, 0.03049, 0.03049, 0.03049, 0.0
<module 'time' (built-in)>, 0.03049, 0.03049, 0.03049, 0.03049, 0.0
<module 'time' (built-in)>, 0.03049, 0.03049, 0.03049, 0.03049, 0.0
<module 'time' (built-in)>, 0.03049, 0.03049, 0.03049, 0.03049, 0.0
<module 'time' (built-in)>, 0.03049, 0.03049, 0.03049, 0.03049, 0.0
<module 'time' (built-in)>, 0.03049, 0.03049, 0.03049, 0.03049, 0.0
<module 'time' (built-in)>, 0.03049, 0.03049, 0.03049, 0.03049, 0.0
<module 'time' (built-in)>, 0.03049, 0.03049, 0.03049, 0.03049, 0.0
<module 'time' (built-in)>, 0.03049, 0.03049, 0.03049, 0.03049, 0.0
<module 'time' (built-in)>, 0.03049, 0.03049, 0.03049, 0.03049, 0.0
<module 'time' (built-in)>, 0.03014, 0.03014, 0.03014, 0.03014, 59.0
