Time, Open, High, Low, Close, Volume
<module 'time' (built-in)>, 8113.99, 8102.59, 8113.99, 8113.0, 32.640078
<module 'time' (built-in)>, 8113.0, 8108.38, 8120.0, 8113.98, 46.631203
<module 'time' (built-in)>, 8117.76, 8110.0, 8119.42, 8113.31, 55.9056
<module 'time' (built-in)>, 8114.59, 8110.0, 8114.59, 8112.97, 24.019182
<module 'time' (built-in)>, 8112.97, 8108.0, 8113.0, 8109.86, 48.574319
<module 'time' (built-in)>, 8109.86, 8106.16, 8110.59, 8107.89, 43.15923
<module 'time' (built-in)>, 8107.98, 8100.0, 8107.98, 8102.72, 73.262681
<module 'time' (built-in)>, 8103.12, 8101.0, 8105.0, 8102.05, 48.483374
<module 'time' (built-in)>, 8102.05, 8101.94, 8105.0, 8103.01, 71.109433
<module 'time' (built-in)>, 8103.01, 8103.01, 8110.59, 8110.59, 23.584438
<module 'time' (built-in)>, 8110.58, 8107.5, 8112.04, 8107.56, 7.98368
<module 'time' (built-in)>, 8107.56, 8107.5, 8109.0, 8108.99, 7.204863
<module 'time' (built-in)>, 8108.22, 8106.08, 8108.94, 8106.1, 14.112485
<module 'time' (built-in)>, 8106.26, 8086.6, 8106.26, 8094.98, 130.814123
<module 'time' (built-in)>, 8094.98, 8089.99, 8098.98, 8093.2, 39.952676
<module 'time' (built-in)>, 8093.21, 8080.0, 8093.21, 8080.16, 71.177789
<module 'time' (built-in)>, 8080.16, 8080.01, 8088.24, 8082.0, 36.950117
<module 'time' (built-in)>, 8082.0, 8080.01, 8082.0, 8082.0, 34.194412
<module 'time' (built-in)>, 8082.0, 8080.01, 8085.73, 8085.73, 17.42955
<module 'time' (built-in)>, 8085.0, 8080.55, 8086.62, 8086.62, 12.583618
<module 'time' (built-in)>, 8086.62, 8085.75, 8102.81, 8102.81, 18.019393
<module 'time' (built-in)>, 8104.3, 8093.0, 8104.31, 8094.01, 23.376167
<module 'time' (built-in)>, 8094.43, 8085.01, 8095.64, 8086.61, 7.389088
<module 'time' (built-in)>, 8085.05, 8078.0, 8090.0, 8084.94, 36.06354
<module 'time' (built-in)>, 8084.93, 8077.69, 8085.05, 8082.0, 29.819902
<module 'time' (built-in)>, 8081.99, 8079.12, 8081.99, 8081.99, 10.277092
<module 'time' (built-in)>, 8079.27, 8072.0, 8080.47, 8072.0, 33.966823
<module 'time' (built-in)>, 8075.09, 8071.94, 8078.0, 8073.99, 14.840531
<module 'time' (built-in)>, 8073.99, 8073.99, 8078.35, 8078.31, 14.703163
<module 'time' (built-in)>, 8078.3, 8075.22, 8090.18, 8086.86, 21.121227
<module 'time' (built-in)>, 8086.95, 8080.0, 8086.95, 8080.0, 27.253832
<module 'time' (built-in)>, 8080.0, 8078.83, 8081.08, 8080.0, 13.76635
<module 'time' (built-in)>, 8081.0, 8076.09, 8081.08, 8076.17, 59.422818
<module 'time' (built-in)>, 8076.1, 8075.09, 8080.01, 8079.92, 28.795136
<module 'time' (built-in)>, 8079.92, 8077.16, 8081.37, 8080.0, 16.430879
<module 'time' (built-in)>, 8080.0, 8080.0, 8087.02, 8087.02, 19.193975
<module 'time' (built-in)>, 8088.69, 8087.04, 8092.02, 8090.07, 29.695505
<module 'time' (built-in)>, 8090.17, 8090.17, 8100.0, 8099.84, 30.240432
<module 'time' (built-in)>, 8099.85, 8099.84, 8107.82, 8103.55, 51.699939
<module 'time' (built-in)>, 8103.56, 8100.0, 8107.82, 8103.5, 55.03972
<module 'time' (built-in)>, 8103.5, 8093.0, 8103.51, 8096.25, 28.15477
<module 'time' (built-in)>, 8096.25, 8094.87, 8101.96, 8099.97, 9.699567
<module 'time' (built-in)>, 8099.97, 8096.47, 8103.54, 8103.54, 15.992514
<module 'time' (built-in)>, 8103.55, 8100.03, 8110.0, 8109.99, 13.546882
<module 'time' (built-in)>, 8109.99, 8106.34, 8126.82, 8113.14, 45.768208
<module 'time' (built-in)>, 8113.13, 8111.76, 8116.08, 8113.99, 76.046696
<module 'time' (built-in)>, 8115.15, 8115.15, 8120.28, 8118.0, 8.290721
<module 'time' (built-in)>, 8120.27, 8113.0, 8120.28, 8113.0, 12.114428
<module 'time' (built-in)>, 8113.01, 8101.23, 8113.93, 8108.0, 13.743621
<module 'time' (built-in)>, 8108.01, 8101.0, 8112.98, 8108.82, 13.367475
<module 'time' (built-in)>, 8110.0, 8110.0, 8119.35, 8119.35, 9.673025
<module 'time' (built-in)>, 8119.34, 8112.98, 8119.34, 8119.34, 13.679625
<module 'time' (built-in)>, 8117.0, 8116.0, 8120.0, 8116.43, 8.552594
<module 'time' (built-in)>, 8116.42, 8113.5, 8118.16, 8118.0, 7.498105
<module 'time' (built-in)>, 8118.01, 8115.41, 8122.56, 8121.05, 11.207031
<module 'time' (built-in)>, 8121.05, 8118.23, 8124.86, 8122.26, 25.139316
<module 'time' (built-in)>, 8123.93, 8117.0, 8127.2, 8118.01, 41.817876
<module 'time' (built-in)>, 8118.01, 8115.0, 8119.0, 8117.03, 40.214691
<module 'time' (built-in)>, 8117.03, 8117.02, 8123.96, 8123.91, 14.184208
<module 'time' (built-in)>, 8123.95, 8120.1, 8126.0, 8123.0, 16.340587
