Time, Open, High, Low, Close, Volume
<module 'time' (built-in)>, 4261.48, 3850.0, 4485.39, 4086.29, 2843.431426
<module 'time' (built-in)>, 4069.13, 3400.0, 4453.91, 4310.01, 4599.396629
<module 'time' (built-in)>, 4310.01, 4124.54, 4939.19, 4509.08, 4753.843376
<module 'time' (built-in)>, 4505.0, 3603.0, 4788.59, 4130.37, 6382.787745
<module 'time' (built-in)>, 4153.62, 2817.0, 4394.59, 3699.99, 8106.705127
<module 'time' (built-in)>, 3690.0, 3505.55, 4123.2, 3660.02, 5908.32335
<module 'time' (built-in)>, 3660.02, 3653.69, 4406.52, 4378.48, 5782.305424
<module 'time' (built-in)>, 4400.0, 4110.0, 4658.0, 4640.0, 4708.272956
<module 'time' (built-in)>, 4640.0, 4550.0, 5922.3, 5709.99, 7913.925837
<module 'time' (built-in)>, 5710.0, 5037.95, 6171.0, 5950.02, 12157.769447
<module 'time' (built-in)>, 5975.0, 5286.98, 6189.88, 6169.98, 13133.99457
<module 'time' (built-in)>, 6133.01, 6030.0, 7590.25, 7345.01, 11663.209648
<module 'time' (built-in)>, 7345.1, 5325.01, 7770.02, 5811.03, 18916.3199
<module 'time' (built-in)>, 5839.94, 5699.99, 8123.15, 8038.0, 19791.101011
<module 'time' (built-in)>, 8057.11, 7801.0, 9350.0, 9128.02, 28921.859792
<module 'time' (built-in)>, 9128.0, 8520.0, 11825.0, 11165.41, 48427.94965
<module 'time' (built-in)>, 11165.41, 10802.0, 17204.99, 14899.98, 72469.977627
<module 'time' (built-in)>, 14946.26, 14666.56, 19798.68, 18860.02, 67851.486215
<module 'time' (built-in)>, 18860.04, 10961.0, 19300.0, 13500.0, 135385.440322
<module 'time' (built-in)>, 13500.0, 11750.0, 16498.05, 13716.36, 116522.754321
<module 'time' (built-in)>, 13715.65, 12750.0, 17176.24, 16150.03, 120239.399359
<module 'time' (built-in)>, 16218.85, 11400.0, 16322.3, 13474.99, 137537.904565
<module 'time' (built-in)>, 13477.98, 9035.0, 14249.99, 11530.0, 303127.502137
<module 'time' (built-in)>, 11530.0, 9900.24, 12244.0, 11879.95, 198030.051117
<module 'time' (built-in)>, 11879.95, 7930.0, 11975.02, 8184.81, 202016.407759
<module 'time' (built-in)>, 8179.99, 6000.01, 9065.78, 8063.88, 340794.292131
<module 'time' (built-in)>, 8063.82, 8053.0, 11274.0, 10383.43, 311863.068137
<module 'time' (built-in)>, 10375.01, 9274.8, 11786.01, 9590.0, 350623.132911
<module 'time' (built-in)>, 9590.0, 9350.0, 11565.0, 11515.0, 183970.997614
<module 'time' (built-in)>, 11515.0, 8329.0, 11710.0, 9533.57, 282035.225382
<module 'time' (built-in)>, 9533.57, 7322.0, 9888.88, 8189.99, 315835.151606
<module 'time' (built-in)>, 8189.0, 8088.4, 9177.01, 8470.15, 285211.539511
<module 'time' (built-in)>, 8470.14, 6430.0, 8514.89, 6813.01, 308729.492031
<module 'time' (built-in)>, 6813.01, 6500.0, 7520.0, 7018.0, 232320.070499
<module 'time' (built-in)>, 7011.04, 6611.0, 8429.54, 8355.0, 259877.022414
<module 'time' (built-in)>, 8355.07, 7825.4, 9035.0, 8787.02, 233025.38619
<module 'time' (built-in)>, 8785.7, 8651.62, 9759.82, 9419.0, 306668.07214
<module 'time' (built-in)>, 9417.04, 8800.49, 10020.0, 9659.01, 222274.38854
<module 'time' (built-in)>, 9661.02, 8153.0, 9689.67, 8679.71, 224151.298751
<module 'time' (built-in)>, 8679.71, 7911.9, 8879.99, 8526.98, 182713.826012
<module 'time' (built-in)>, 8526.97, 7231.11, 8595.31, 7338.99, 190894.600939
<module 'time' (built-in)>, 7338.99, 7032.95, 7786.69, 7714.26, 211929.270766
<module 'time' (built-in)>, 7714.26, 6622.81, 7765.0, 6764.99, 211352.737478
<module 'time' (built-in)>, 6765.0, 6118.68, 6922.0, 6449.61, 234080.841171
<module 'time' (built-in)>, 6444.06, 5750.0, 6841.74, 6136.97, 234147.621015
<module 'time' (built-in)>, 6137.95, 5780.0, 6528.99, 6356.81, 207746.559006
<module 'time' (built-in)>, 6360.82, 6271.62, 6818.16, 6712.1, 211526.019058
<module 'time' (built-in)>, 6712.1, 6070.0, 6802.06, 6353.01, 192452.84988
<module 'time' (built-in)>, 6354.15, 6330.4, 7700.0, 7394.79, 294313.222604
<module 'time' (built-in)>, 7394.78, 7375.0, 8491.77, 8129.79, 141687.378156
