Time, Open, High, Low, Close, Volume
<module 'time' (built-in)>, 0.094268, 0.09266, 0.096933, 0.094828, 173629.036
<module 'time' (built-in)>, 0.094763, 0.0945, 0.098, 0.097342, 133169.039
<module 'time' (built-in)>, 0.097433, 0.097105, 0.105639, 0.105244, 180711.078
<module 'time' (built-in)>, 0.105244, 0.1033, 0.10598, 0.10454, 129263.33
<module 'time' (built-in)>, 0.104632, 0.103102, 0.108, 0.106081, 130548.124
<module 'time' (built-in)>, 0.106058, 0.105552, 0.110879, 0.109451, 99941.486
<module 'time' (built-in)>, 0.109451, 0.109343, 0.123799, 0.113185, 234038.204
<module 'time' (built-in)>, 0.113075, 0.09688, 0.115, 0.1039, 250334.442
<module 'time' (built-in)>, 0.103976, 0.103, 0.1075, 0.105516, 118577.429
<module 'time' (built-in)>, 0.105516, 0.098753, 0.106, 0.10087, 122975.365
<module 'time' (built-in)>, 0.100869, 0.095632, 0.103672, 0.100809, 171027.107
<module 'time' (built-in)>, 0.100787, 0.094431, 0.102313, 0.101896, 222283.824
<module 'time' (built-in)>, 0.10177, 0.099045, 0.102571, 0.099359, 106109.231
<module 'time' (built-in)>, 0.099311, 0.09885, 0.100679, 0.100298, 3008.81
<module 'time' (built-in)>, 0.10013, 0.099129, 0.101551, 0.101033, 72149.947
<module 'time' (built-in)>, 0.101029, 0.099203, 0.101146, 0.099682, 147532.975
<module 'time' (built-in)>, 0.09971, 0.0993, 0.101, 0.10036, 126261.139
<module 'time' (built-in)>, 0.100393, 0.097, 0.10055, 0.097367, 117166.987
<module 'time' (built-in)>, 0.097361, 0.096912, 0.0988, 0.098546, 110413.962
<module 'time' (built-in)>, 0.098558, 0.096, 0.098701, 0.097253, 136922.659
<module 'time' (built-in)>, 0.097226, 0.091101, 0.097389, 0.092399, 155011.091
<module 'time' (built-in)>, 0.092347, 0.09134, 0.0945, 0.09236, 126099.466
<module 'time' (built-in)>, 0.092392, 0.087662, 0.09302, 0.087817, 122365.317
<module 'time' (built-in)>, 0.08784, 0.086131, 0.08939, 0.087699, 128436.859
<module 'time' (built-in)>, 0.08773, 0.083396, 0.0886, 0.084157, 105092.834
<module 'time' (built-in)>, 0.084157, 0.070828, 0.084265, 0.07882, 122620.977
<module 'time' (built-in)>, 0.078825, 0.078101, 0.0815, 0.080118, 116652.853
<module 'time' (built-in)>, 0.080131, 0.07953, 0.08186, 0.081643, 89132.645
<module 'time' (built-in)>, 0.081669, 0.081587, 0.086338, 0.084126, 119515.227
<module 'time' (built-in)>, 0.084126, 0.081001, 0.0866, 0.08604, 74689.814
<module 'time' (built-in)>, 0.085987, 0.085888, 0.0886, 0.087861, 75442.268
<module 'time' (built-in)>, 0.087786, 0.0835, 0.0898, 0.084057, 116583.412
<module 'time' (built-in)>, 0.084122, 0.081675, 0.08589, 0.082335, 106621.575
<module 'time' (built-in)>, 0.082231, 0.08, 0.087777, 0.082605, 115440.244
<module 'time' (built-in)>, 0.082674, 0.0793, 0.082999, 0.079719, 100437.224
<module 'time' (built-in)>, 0.079719, 0.07612, 0.079966, 0.077514, 98530.768
<module 'time' (built-in)>, 0.077553, 0.0745, 0.077824, 0.074728, 96773.177
<module 'time' (built-in)>, 0.074728, 0.0746, 0.07757, 0.07528, 73555.511
<module 'time' (built-in)>, 0.075279, 0.072525, 0.075647, 0.07387, 83623.981
<module 'time' (built-in)>, 0.07387, 0.073811, 0.076999, 0.075986, 91742.199
<module 'time' (built-in)>, 0.075986, 0.072469, 0.07648, 0.0757, 127108.493
<module 'time' (built-in)>, 0.075776, 0.074502, 0.077098, 0.075012, 102259.478
<module 'time' (built-in)>, 0.075014, 0.0745, 0.078856, 0.078477, 119032.428
<module 'time' (built-in)>, 0.078477, 0.0772, 0.079757, 0.0776, 63323.38
<module 'time' (built-in)>, 0.077659, 0.074892, 0.079555, 0.075753, 64978.434
<module 'time' (built-in)>, 0.075672, 0.074321, 0.076966, 0.076449, 78594.872
<module 'time' (built-in)>, 0.076446, 0.074846, 0.077186, 0.075364, 96071.93
<module 'time' (built-in)>, 0.075364, 0.073356, 0.07642, 0.074491, 104892.315
<module 'time' (built-in)>, 0.074491, 0.073, 0.075479, 0.073866, 116230.726
<module 'time' (built-in)>, 0.073866, 0.071742, 0.074589, 0.07248, 102488.577
<module 'time' (built-in)>, 0.072409, 0.069663, 0.073556, 0.069907, 83785.69
<module 'time' (built-in)>, 0.069919, 0.0618, 0.069997, 0.065641, 169228.122
<module 'time' (built-in)>, 0.065643, 0.063105, 0.06673, 0.064725, 135417.994
<module 'time' (built-in)>, 0.064691, 0.061916, 0.064933, 0.0626, 129684.402
