Time, Open, High, Low, Close, Volume
<module 'time' (built-in)>, 471.67, 468.79, 471.73, 469.04, 1786.1547
<module 'time' (built-in)>, 469.53, 468.29, 470.67, 470.53, 2151.16611
<module 'time' (built-in)>, 470.64, 470.23, 472.0, 470.63, 2341.70882
<module 'time' (built-in)>, 470.68, 470.0, 471.0, 470.28, 2252.54389
<module 'time' (built-in)>, 470.33, 470.0, 471.92, 471.39, 1588.04272
<module 'time' (built-in)>, 471.4, 471.4, 472.86, 472.48, 2406.80386
<module 'time' (built-in)>, 472.4, 470.74, 472.48, 470.94, 1430.80809
<module 'time' (built-in)>, 471.1, 467.48, 472.18, 471.52, 2020.6116
<module 'time' (built-in)>, 471.52, 470.0, 471.59, 470.87, 1164.90404
<module 'time' (built-in)>, 470.83, 470.05, 471.4, 470.31, 1663.79574
<module 'time' (built-in)>, 470.3, 467.73, 470.3, 469.91, 1434.08416
<module 'time' (built-in)>, 469.88, 468.8, 470.28, 469.4, 2048.1075
<module 'time' (built-in)>, 469.4, 469.28, 470.99, 470.57, 2037.89744
<module 'time' (built-in)>, 470.6, 468.83, 471.0, 469.09, 826.09703
<module 'time' (built-in)>, 469.06, 466.01, 470.53, 466.58, 2767.39769
<module 'time' (built-in)>, 466.76, 464.0, 467.26, 465.97, 4174.34326
<module 'time' (built-in)>, 465.93, 464.56, 468.41, 467.8, 2296.54344
<module 'time' (built-in)>, 467.8, 466.36, 468.17, 468.15, 2347.70612
<module 'time' (built-in)>, 468.12, 466.97, 472.68, 472.19, 2351.3901
<module 'time' (built-in)>, 472.2, 471.29, 473.63, 471.93, 1509.38777
<module 'time' (built-in)>, 472.27, 470.77, 473.41, 471.49, 2191.54894
<module 'time' (built-in)>, 471.56, 469.29, 471.9, 470.06, 1274.43228
<module 'time' (built-in)>, 470.02, 469.4, 471.71, 471.55, 1426.53449
<module 'time' (built-in)>, 471.54, 470.55, 472.7, 470.84, 2414.47875
<module 'time' (built-in)>, 470.83, 469.84, 471.11, 470.63, 1559.32025
<module 'time' (built-in)>, 470.79, 470.22, 471.74, 471.71, 1728.04926
<module 'time' (built-in)>, 471.68, 470.47, 471.8, 470.87, 1239.01574
<module 'time' (built-in)>, 470.97, 469.0, 471.06, 469.41, 1221.83028
<module 'time' (built-in)>, 469.35, 468.71, 470.86, 469.32, 1651.07053
<module 'time' (built-in)>, 469.24, 469.17, 471.54, 470.86, 2073.79986
<module 'time' (built-in)>, 470.7, 469.96, 472.17, 472.13, 1771.84588
<module 'time' (built-in)>, 472.13, 471.85, 472.29, 472.23, 33.60591
