Time, Open, High, Low, Close, Volume
<module 'time' (built-in)>, 0.10922, 0.10397, 0.11345, 0.10497, 129905.17
<module 'time' (built-in)>, 0.10437, 0.1016, 0.10917, 0.10791, 123480.73
<module 'time' (built-in)>, 0.10761, 0.09897, 0.11262, 0.099, 135165.64
<module 'time' (built-in)>, 0.099, 0.097, 0.10756, 0.10516, 173450.65
<module 'time' (built-in)>, 0.10533, 0.10384, 0.11161, 0.10622, 206721.61
<module 'time' (built-in)>, 0.10676, 0.10619, 0.11917, 0.11443, 171271.75
<module 'time' (built-in)>, 0.1155, 0.11145, 0.12706, 0.12065, 123387.96
<module 'time' (built-in)>, 0.1211, 0.116, 0.12602, 0.11666, 220221.0
<module 'time' (built-in)>, 0.11658, 0.1159, 0.13016, 0.12278, 121009.93
<module 'time' (built-in)>, 0.12278, 0.11949, 0.1277, 0.12164, 168712.84
<module 'time' (built-in)>, 0.12139, 0.11751, 0.12813, 0.12561, 81771.82
<module 'time' (built-in)>, 0.12569, 0.11365, 0.12655, 0.12084, 100370.81
<module 'time' (built-in)>, 0.12181, 0.1192, 0.12812, 0.12345, 152352.01
<module 'time' (built-in)>, 0.12326, 0.1195, 0.12464, 0.12134, 78859.42
<module 'time' (built-in)>, 0.12077, 0.11, 0.12134, 0.11097, 160648.62
<module 'time' (built-in)>, 0.11031, 0.11031, 0.11779, 0.11274, 138823.89
<module 'time' (built-in)>, 0.11274, 0.1045, 0.11443, 0.10943, 122418.99
<module 'time' (built-in)>, 0.10975, 0.10622, 0.11175, 0.10825, 157905.4
<module 'time' (built-in)>, 0.10825, 0.1065, 0.1105, 0.1095, 70189.1
<module 'time' (built-in)>, 0.1095, 0.1085, 0.11367, 0.11081, 50347.06
<module 'time' (built-in)>, 0.11125, 0.10579, 0.11406, 0.11216, 108622.51
<module 'time' (built-in)>, 0.11208, 0.108, 0.12235, 0.1185, 145983.48
<module 'time' (built-in)>, 0.1185, 0.11771, 0.12772, 0.12083, 147202.61
<module 'time' (built-in)>, 0.12115, 0.11197, 0.1222, 0.11482, 125712.17
<module 'time' (built-in)>, 0.11482, 0.10709, 0.11704, 0.10931, 191114.24
<module 'time' (built-in)>, 0.1094, 0.108, 0.11687, 0.11348, 147700.65
<module 'time' (built-in)>, 0.11302, 0.11112, 0.11786, 0.11292, 69560.29
<module 'time' (built-in)>, 0.11292, 0.10719, 0.11663, 0.10769, 115433.6
<module 'time' (built-in)>, 0.10856, 0.10413, 0.11225, 0.10845, 277551.13
<module 'time' (built-in)>, 0.10845, 0.09602, 0.10868, 0.10331, 128451.04
