Time, Open, High, Low, Close, Volume
<module 'time' (built-in)>, 0.1056, 0.105, 0.10566, 0.10534, 19687.59
<module 'time' (built-in)>, 0.10534, 0.10474, 0.10535, 0.10484, 3392.67
<module 'time' (built-in)>, 0.10474, 0.10469, 0.10664, 0.10664, 494.15
<module 'time' (built-in)>, 0.1063, 0.10579, 0.10663, 0.10579, 248.02
<module 'time' (built-in)>, 0.1058, 0.10507, 0.1062, 0.1058, 5727.63
<module 'time' (built-in)>, 0.1058, 0.1053, 0.1062, 0.10535, 1937.13
<module 'time' (built-in)>, 0.10568, 0.10568, 0.10664, 0.10663, 61.9
<module 'time' (built-in)>, 0.1066, 0.1066, 0.10726, 0.10719, 1660.22
<module 'time' (built-in)>, 0.10719, 0.10685, 0.10825, 0.10767, 5627.9
<module 'time' (built-in)>, 0.10781, 0.10749, 0.10781, 0.10749, 441.41
<module 'time' (built-in)>, 0.107, 0.107, 0.108, 0.10767, 3000.89
<module 'time' (built-in)>, 0.10805, 0.107, 0.10815, 0.107, 2018.94
<module 'time' (built-in)>, 0.10783, 0.107, 0.10789, 0.107, 404.7
<module 'time' (built-in)>, 0.10806, 0.10706, 0.10806, 0.10709, 171.85
<module 'time' (built-in)>, 0.10749, 0.1073, 0.10773, 0.10773, 3617.15
<module 'time' (built-in)>, 0.10773, 0.10732, 0.10801, 0.10751, 14241.7
<module 'time' (built-in)>, 0.10766, 0.10713, 0.10845, 0.10845, 12865.91
<module 'time' (built-in)>, 0.10845, 0.1077, 0.10845, 0.1077, 8754.4
<module 'time' (built-in)>, 0.1077, 0.1077, 0.1083, 0.1083, 180.2
<module 'time' (built-in)>, 0.1077, 0.10741, 0.1085, 0.10741, 1553.24
<module 'time' (built-in)>, 0.10792, 0.10786, 0.10829, 0.10799, 156.61
<module 'time' (built-in)>, 0.10801, 0.10791, 0.10814, 0.10791, 2788.62
<module 'time' (built-in)>, 0.10846, 0.10796, 0.1086, 0.1086, 703.09
<module 'time' (built-in)>, 0.1086, 0.1086, 0.10868, 0.10868, 754.16
<module 'time' (built-in)>, 0.108, 0.10729, 0.108, 0.10737, 5310.97
<module 'time' (built-in)>, 0.10709, 0.10559, 0.10709, 0.10559, 8569.54
<module 'time' (built-in)>, 0.10559, 0.10469, 0.10615, 0.10578, 2195.18
<module 'time' (built-in)>, 0.10614, 0.10513, 0.10616, 0.10516, 728.22
<module 'time' (built-in)>, 0.10477, 0.10413, 0.10561, 0.10561, 2026.38
<module 'time' (built-in)>, 0.1058, 0.1058, 0.10591, 0.10591, 55.13
<module 'time' (built-in)>, 0.10591, 0.10458, 0.10612, 0.10481, 243.86
<module 'time' (built-in)>, 0.10424, 0.1037, 0.10471, 0.10373, 3556.23
<module 'time' (built-in)>, 0.10453, 0.10453, 0.10578, 0.10505, 4941.91
<module 'time' (built-in)>, 0.10578, 0.10476, 0.10578, 0.10479, 356.09
<module 'time' (built-in)>, 0.10515, 0.10515, 0.10635, 0.10542, 1845.61
<module 'time' (built-in)>, 0.10528, 0.10513, 0.10702, 0.10702, 5869.23
<module 'time' (built-in)>, 0.10723, 0.10521, 0.10723, 0.10672, 2275.42
<module 'time' (built-in)>, 0.10672, 0.10671, 0.10743, 0.10743, 1925.17
<module 'time' (built-in)>, 0.10785, 0.10742, 0.10861, 0.10861, 92.63
<module 'time' (built-in)>, 0.10824, 0.10775, 0.10824, 0.10775, 119.1
<module 'time' (built-in)>, 0.10735, 0.10574, 0.10735, 0.10574, 347.27
<module 'time' (built-in)>, 0.10574, 0.10441, 0.10582, 0.10441, 1191.99
<module 'time' (built-in)>, 0.10441, 0.10253, 0.10522, 0.10253, 2889.04
<module 'time' (built-in)>, 0.10253, 0.10145, 0.10326, 0.10183, 3904.63
<module 'time' (built-in)>, 0.10145, 0.10061, 0.10179, 0.1015, 5217.06
<module 'time' (built-in)>, 0.1015, 0.1008, 0.10157, 0.10157, 929.77
<module 'time' (built-in)>, 0.10179, 0.10136, 0.10293, 0.10293, 2549.01
<module 'time' (built-in)>, 0.10293, 0.10253, 0.10293, 0.10253, 15.01
<module 'time' (built-in)>, 0.10269, 0.10247, 0.10366, 0.10247, 568.19
<module 'time' (built-in)>, 0.10214, 0.1007, 0.10233, 0.1007, 3590.3
<module 'time' (built-in)>, 0.1007, 0.09954, 0.1007, 0.10015, 4108.15
<module 'time' (built-in)>, 0.1, 0.09918, 0.10037, 0.09983, 1103.03
<module 'time' (built-in)>, 0.09985, 0.09985, 0.1007, 0.10063, 199.97
<module 'time' (built-in)>, 0.1003, 0.09838, 0.1003, 0.09879, 5128.68
<module 'time' (built-in)>, 0.09817, 0.0975, 0.0987, 0.09828, 2097.01
<module 'time' (built-in)>, 0.09847, 0.09823, 0.09891, 0.09823, 1228.24
<module 'time' (built-in)>, 0.09888, 0.09888, 0.09891, 0.09891, 384.67
<module 'time' (built-in)>, 0.09803, 0.09634, 0.09803, 0.09699, 1034.57
<module 'time' (built-in)>, 0.09634, 0.09602, 0.09731, 0.09731, 723.71
<module 'time' (built-in)>, 0.09731, 0.09731, 0.09987, 0.09987, 1439.59
<module 'time' (built-in)>, 0.09996, 0.09831, 0.09999, 0.09969, 2678.02
<module 'time' (built-in)>, 0.09889, 0.09787, 0.09933, 0.09932, 1350.69
<module 'time' (built-in)>, 0.09932, 0.09932, 0.10036, 0.10036, 1497.99
<module 'time' (built-in)>, 0.10043, 0.10023, 0.10126, 0.10049, 5674.98
<module 'time' (built-in)>, 0.10115, 0.10115, 0.10115, 0.10115, 569.65
<module 'time' (built-in)>, 0.10148, 0.098, 0.10185, 0.10021, 8476.46
<module 'time' (built-in)>, 0.10101, 0.10002, 0.10103, 0.10073, 519.83
<module 'time' (built-in)>, 0.10073, 0.09978, 0.10073, 0.09978, 242.61
<module 'time' (built-in)>, 0.09978, 0.09883, 0.10039, 0.09883, 1202.41
<module 'time' (built-in)>, 0.09878, 0.09833, 0.10022, 0.10022, 333.05
<module 'time' (built-in)>, 0.10022, 0.09958, 0.10022, 0.09958, 400.0
<module 'time' (built-in)>, 0.09958, 0.09878, 0.09958, 0.09878, 1192.49
<module 'time' (built-in)>, 0.09878, 0.09846, 0.09909, 0.09846, 199.83
<module 'time' (built-in)>, 0.09846, 0.09846, 0.09846, 0.09846, 225.1
<module 'time' (built-in)>, 0.09879, 0.09879, 0.0988, 0.0988, 268.03
<module 'time' (built-in)>, 0.09902, 0.09836, 0.09903, 0.09836, 832.3
<module 'time' (built-in)>, 0.09826, 0.09819, 0.09883, 0.09829, 2534.9
<module 'time' (built-in)>, 0.0988, 0.09838, 0.09946, 0.09946, 530.06
